
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> X-ray simulation startup file...
====== With Self Absorption, Transmission Detector Resolution is 16
====== Fluorescence Detector Resolution is 2000
====== Angle Number  1 of 8: 0
====== Angle Number  2 of 8: 2.571429e+01
====== Angle Number  3 of 8: 5.142857e+01
====== Angle Number  4 of 8: 7.714286e+01
====== Angle Number  5 of 8: 1.028571e+02
====== Angle Number  6 of 8: 1.285714e+02
====== Angle Number  7 of 8: 1.542857e+02
====== Angle Number  8 of 8: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> ============================ Attenuation Transmission Reconstruction
  27     28    270    8.43565825e-01   3.0e+00     1.0e+00      3.664e-01
  28     29    280    8.42742448e-01   6.8e+00     1.0e+00      3.663e-01
  29     30    290    8.41928487e-01   3.0e+00     1.0e+00      3.663e-01
  30     31    300    8.41123900e-01   6.7e+00     1.0e+00      3.662e-01
  31     32    310    8.40328358e-01   3.0e+00     1.0e+00      3.661e-01
  32     33    320    8.39541822e-01   6.6e+00     1.0e+00      3.660e-01
  33     34    330    8.38763984e-01   2.9e+00     1.0e+00      3.660e-01
  34     35    340    8.37994809e-01   6.6e+00     1.0e+00      3.659e-01
  35     36    350    8.37234007e-01   2.9e+00     1.0e+00      3.658e-01
  36     37    360    8.36481548e-01   6.5e+00     1.0e+00      3.657e-01
  37     38    370    8.35737159e-01   2.9e+00     1.0e+00      3.657e-01
  38     39    380    8.35000812e-01   6.4e+00     1.0e+00      3.656e-01
  39     40    390    8.34272251e-01   2.8e+00     1.0e+00      3.655e-01
  40     41    400    8.33551450e-01   6.3e+00     1.0e+00      3.654e-01
  41     42    410    8.32838167e-01   2.8e+00     1.0e+00      3.654e-01
  42     43    420    8.32132380e-01   6.3e+00     1.0e+00      3.653e-01
  43     44    430    8.31433858e-01   2.8e+00     1.0e+00      3.653e-01
  44     45    440    8.30742582e-01   6.2e+00     1.0e+00      3.652e-01
  45     46    450    8.30058334e-01   2.7e+00     1.0e+00      3.651e-01
  46     47    460    8.29381095e-01   6.1e+00     1.0e+00      3.650e-01
  47     48    470    8.28710661e-01   2.7e+00     1.0e+00      3.650e-01
  48     49    480    8.28047012e-01   6.1e+00     1.0e+00      3.649e-01
  49     50    490    8.27389955e-01   2.7e+00     1.0e+00      3.648e-01
  50     51    500    8.26739472e-01   6.0e+00     1.0e+00      3.647e-01
LMQNBC: termination 5
============================ Attenuation Transmission Reconstruction
  it     nf     cg           f             |g|      alpha        error
   0      1      0    2.61176857e-05   2.1e-05     1.0e+00      4.112e+00
   1      2      5    4.23760967e-06   1.4e-05     1.0e+00      4.135e+00
   2      3     13    1.61221421e-06   3.1e-06     1.0e+00      4.139e+00
   3      4     23    9.37551075e-07   1.7e-06     1.0e+00      4.124e+00
   4      5     26    8.67570357e-07   1.4e-06     1.0e+00      4.126e+00
   5      6     36    7.21471184e-07   2.0e-06     1.0e+00      4.131e+00
   6      7     43    6.48484022e-07   8.6e-07     1.0e+00      4.121e+00
   7      8     53    5.40335050e-07   1.1e-06     1.0e+00      4.113e+00
   8      9     58    4.81092155e-07   7.6e-07     1.0e+00      4.107e+00
   9     10     68    4.21219933e-07   9.1e-07     1.0e+00      4.098e+00
  10     11     73    3.88149890e-07   6.7e-07     1.0e+00      4.100e+00
LMQNBC: termination 5
============================ Fluorescence Reconstruction
  it     nf     cg           f             |g|      alpha        error
   0      1      0    8.26514181e-01   5.9e+00     1.0e+00      3.647e-01
   1      2      8    8.25935644e-01   7.1e-01     1.0e+00      3.647e-01
   2      3     18    8.23571119e-01   2.8e+01     1.0e+00      3.643e-01
   3      4     21    8.21780607e-01   1.5e+00     1.0e+00      3.643e-01
   4      5     28    8.21316217e-01   1.1e+00     1.0e+00      3.642e-01
   5      6     38    8.19277253e-01   1.3e+01     1.0e+00      3.638e-01
   6      7     41    8.18087359e-01   6.1e+00     1.0e+00      3.638e-01
   7      8     47    8.17364344e-01   9.3e-01     1.0e+00      3.638e-01
   8      9     57    8.12971999e-01   1.4e+01     1.0e+00      3.630e-01
   9     10     61    8.10020538e-01   2.7e+00     1.0e+00      3.630e-01
  10     11     71    8.08772424e-01   4.4e+00     1.0e+00      3.629e-01
  11     12     78    8.08443368e-01   2.2e+00     1.0e+00      3.629e-01
  12     13     88    8.07757159e-01   6.0e+00     1.0e+00      3.627e-01
  13     14     95    8.07193600e-01   1.8e+00     1.0e+00      3.627e-01
  14     15    105    7.99223609e-01   2.6e+01     1.0e+00      3.613e-01
  15     16    109    7.93907501e-01   1.0e+01     1.0e+00      3.612e-01
  16     17    112    7.93185318e-01   4.2e+00     1.0e+00      3.612e-01
  17     18    118    7.92482588e-01   6.0e-01     1.0e+00      3.612e-01
  18     19    128    7.91819238e-01   3.4e+00     1.0e+00      3.610e-01
  19     20    132    7.91583708e-01   1.1e+00     1.0e+00      3.610e-01
  20     21    142    7.90636036e-01   7.3e+00     1.0e+00      3.609e-01
  21     22    146    7.90364604e-01   1.2e+00     1.0e+00      3.608e-01
  22     23    154    7.89739697e-01   1.3e+00     1.0e+00      3.608e-01
  23     24    164    7.89211660e-01   1.8e+00     1.0e+00      3.607e-01
  24     25    173    7.88746992e-01   1.3e+00     1.0e+00      3.606e-01
  25     26    183    7.88303026e-01   2.5e+00     1.0e+00      3.605e-01
  26     27    187    7.88117108e-01   1.7e+00     1.0e+00      3.605e-01
  27     28    194    7.87884947e-01   1.2e+00     1.0e+00      3.605e-01
  28     29    201    7.87694178e-01   1.6e+00     1.0e+00      3.605e-01
  29     30    208    7.87514994e-01   1.5e+00     1.0e+00      3.605e-01
  30     31    215    7.87342440e-01   1.4e+00     1.0e+00      3.604e-01
  31     32    225    7.86424842e-01   1.4e+01     1.0e+00      3.602e-01
  32     33    227    7.85930583e-01   1.1e+00     1.0e+00      3.602e-01
  33     34    231    7.85645326e-01   2.1e+00     1.0e+00      3.602e-01
  34     35    241    7.84545897e-01   1.5e+00     1.0e+00      3.600e-01
  35     36    247    7.83557829e-01   4.6e-01     1.0e+00      3.599e-01
  36     37    257    7.82523931e-01   8.0e+00     1.0e+00      3.597e-01
  37     38    260    7.82030703e-01   4.0e+00     1.0e+00      3.597e-01
  38     39    265    7.81568061e-01   7.2e-01     1.0e+00      3.597e-01
  39     40    275    7.80580084e-01   5.5e+00     1.0e+00      3.594e-01
  40     41    281    7.79741155e-01   8.9e-01     1.0e+00      3.594e-01
  41     42    291    7.79359315e-01   2.0e+00     1.0e+00      3.594e-01
  42     43    299    7.79047573e-01   8.1e-01     1.0e+00      3.594e-01
  43     44    309    7.78459341e-01   7.8e+00     1.0e+00      3.592e-01
  44     45    312    7.78151620e-01   1.7e+00     1.0e+00      3.592e-01
  45     46    319    7.77899844e-01   1.6e+00     1.0e+00      3.592e-01
  46     47    329    7.77295943e-01   4.2e+00     1.0e+00      3.591e-01
  47     48    333    7.76860012e-01   1.6e+00     1.0e+00      3.591e-01
  48     49    343    7.76596188e-01   1.3e+00     1.0e+00      3.590e-01
  49     50    353    7.76353895e-01   2.9e+00     1.0e+00      3.590e-01
  50     51    357    7.76279069e-01   9.1e-01     1.0e+00      3.590e-01
LMQNBC: termination 5
============================ Attenuation Transmission Reconstruction
  it     nf     cg           f             |g|      alpha        error
   0      1      0    2.49008168e-05   2.1e-05     1.0e+00      4.146e+00
   1      2      5    4.25181687e-06   1.5e-05     1.0e+00      4.160e+00
   2      3     13    1.59853156e-06   3.2e-06     1.0e+00      4.158e+00
   3      4     23    9.55332881e-07   1.6e-06     1.0e+00      4.138e+00
   4      5     30    8.37382316e-07   1.3e-06     1.0e+00      4.141e+00
   5      6     40    6.35250009e-07   3.0e-06     1.0e+00      4.128e+00
   6      7     44    5.69544413e-07   9.3e-07     1.0e+00      4.127e+00
   7      8     54    5.03987982e-07   1.0e-06     1.0e+00      4.114e+00
   8      9     59    4.78458444e-07   5.7e-07     1.0e+00      4.112e+00
   9     10     69    4.16217761e-07   8.3e-07     1.0e+00      4.110e+00
  10     11     75    3.77887801e-07   4.6e-07     1.0e+00      4.107e+00
LMQNBC: termination 5
============================ Fluorescence Reconstruction
  it     nf     cg           f             |g|      alpha        error
   0      1      0    7.76077089e-01   1.0e+00     1.0e+00      3.590e-01
   1      2     27    7.50599734e-01   2.7e+00     1.0e+00      3.617e-01
   2      3     34    7.49604180e-01   3.2e+00     1.0e+00      3.616e-01
   3      4     44    7.49164140e-01   2.2e+00     1.0e+00      3.615e-01
   4      5     51    7.49051084e-01   8.7e-01     1.0e+00      3.614e-01
   5      6     61    7.48893374e-01   2.1e+00     1.0e+00      3.613e-01
   6      7     65    7.48842329e-01   6.1e-01     1.0e+00      3.613e-01
   7      8     75    7.48804924e-01   8.9e-01     1.0e+00      3.612e-01
   8      9     79    7.48789125e-01   5.8e-01     1.0e+00      3.612e-01
   9     10     89    7.48753509e-01   4.1e-01     1.0e+00      3.612e-01
  10     11     95    7.48730500e-01   1.2e-01     1.0e+00      3.612e-01
  11     12    105    7.48702061e-01   8.2e-01     1.0e+00      3.611e-01
  12     13    111    7.48682393e-01   4.1e-01     1.0e+00      3.610e-01
  13     14    121    7.48669328e-01   4.3e-01     1.0e+00      3.610e-01
  14     15    129    7.48659469e-01   1.3e-01     1.0e+00      3.610e-01
  15     16    139    7.48639043e-01   1.1e+00     1.0e+00      3.609e-01
  16     17    142    7.48626391e-01   4.2e-01     1.0e+00      3.609e-01
  17     18    149    7.48620893e-01   1.3e-01     1.0e+00      3.609e-01
  18     19    159    7.48600945e-01   2.0e+00     1.0e+00      3.608e-01
  19     20    161    7.48590759e-01   1.9e-01     1.0e+00      3.608e-01
  20     21    165    7.48585100e-01   1.9e-01     1.0e+00      3.608e-01
  21     22    169    7.48583544e-01   5.5e-02     1.0e+00      3.608e-01
  22     23    179    7.48546590e-01   4.1e-01     1.0e+00      3.606e-01
  23     24    186    7.48520909e-01   3.9e-01     1.0e+00      3.606e-01
