
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== With Self Absorption, Transmission Detector Resolution is 16
====== Fluorescence Detector Resolution is 32
>> >> >> >> >> >> ===================== 15
Elapsed time is 1.094699 seconds.
Elapsed time is 1.096330 seconds.
ans =
     0
Elapsed time is 1.096574 seconds.
  it     nf     cg           f             |g|      alpha        error
 179    306   1650    2.04791462e+01   2.2e-02     1.0e+00      1.116e+02
 180    307   1660    2.04692974e+01   3.1e-02     1.0e+00      1.120e+02
 181    308   1670    2.04596119e+01   1.9e-02     1.0e+00      1.122e+02
 182    309   1680    2.04500166e+01   3.1e-02     1.0e+00      1.126e+02
 183    310   1690    2.04404889e+01   1.8e-02     1.0e+00      1.128e+02
 184    311   1700    2.04310179e+01   3.1e-02     1.0e+00      1.132e+02
 185    312   1710    2.04216038e+01   1.8e-02     1.0e+00      1.135e+02
 186    313   1720    2.04122376e+01   3.2e-02     1.0e+00      1.138e+02
 187    314   1730    2.04029253e+01   1.8e-02     1.0e+00      1.141e+02
 188    315   1740    2.03936554e+01   3.5e-02     1.0e+00      1.144e+02
 189    316   1750    2.03844403e+01   1.7e-02     1.0e+00      1.147e+02
 190    317   1760    2.03752715e+01   4.0e-02     1.0e+00      1.150e+02
 191    318   1770    2.03661526e+01   1.5e-02     1.0e+00      1.153e+02
 192    319   1780    2.03572391e+01   4.1e-02     1.0e+00      1.156e+02
 193    320   1790    2.03483207e+01   1.6e-02     1.0e+00      1.159e+02
 194    321   1800    2.03393202e+01   4.1e-02     1.0e+00      1.163e+02
 195    322   1810    2.03303912e+01   1.7e-02     1.0e+00      1.165e+02
 196    323   1820    2.03215052e+01   4.3e-02     1.0e+00      1.169e+02
 197    324   1830    2.03126652e+01   1.8e-02     1.0e+00      1.171e+02
 198    325   1840    2.03041950e+01   4.2e-02     1.0e+00      1.175e+02
 199    326   1850    2.02943048e+01   6.1e-02     1.0e+00      1.178e+02
 200    327   1860    2.02848443e+01   2.5e-02     1.0e+00      1.181e+02
 201    328   1870    2.02763874e+01   2.1e-02     1.0e+00      1.184e+02
 202    329   1880    2.02681376e+01   2.5e-02     1.0e+00      1.187e+02
 203    330   1890    2.02600375e+01   2.1e-02     1.0e+00      1.190e+02
 204    331   1900    2.02520205e+01   2.5e-02     1.0e+00      1.193e+02
 205    332   1910    2.02440811e+01   2.1e-02     1.0e+00      1.196e+02
 206    333   1920    2.02362100e+01   2.4e-02     1.0e+00      1.199e+02
 207    334   1930    2.02284051e+01   2.0e-02     1.0e+00      1.202e+02
 208    335   1940    2.02206590e+01   2.4e-02     1.0e+00      1.205e+02
 209    336   1950    2.02129670e+01   2.0e-02     1.0e+00      1.208e+02
 210    337   1960    2.02053268e+01   2.4e-02     1.0e+00      1.211e+02
 211    338   1970    2.01977340e+01   1.9e-02     1.0e+00      1.213e+02
 212    339   1980    2.01901883e+01   2.3e-02     1.0e+00      1.216e+02
 213    340   1990    2.01826861e+01   1.9e-02     1.0e+00      1.219e+02
 214    341   2000    2.01752277e+01   2.3e-02     1.0e+00      1.222e+02
 215    342   2010    2.01678101e+01   1.9e-02     1.0e+00      1.225e+02
 216    343   2020    2.01604342e+01   2.3e-02     1.0e+00      1.228e+02
 217    344   2030    2.01530969e+01   1.8e-02     1.0e+00      1.230e+02
 218    345   2040    2.01457996e+01   2.2e-02     1.0e+00      1.233e+02
 219    346   2050    2.01385394e+01   1.8e-02     1.0e+00      1.236e+02
 220    347   2060    2.01313177e+01   2.2e-02     1.0e+00      1.239e+02
 221    348   2070    2.01241320e+01   1.8e-02     1.0e+00      1.242e+02
 222    349   2080    2.01169836e+01   2.2e-02     1.0e+00      1.245e+02
 223    350   2090    2.01098701e+01   1.7e-02     1.0e+00      1.247e+02
 224    351   2100    2.01027929e+01   2.2e-02     1.0e+00      1.250e+02
 225    352   2110    2.00957498e+01   1.7e-02     1.0e+00      1.253e+02
 226    353   2120    2.00887420e+01   2.2e-02     1.0e+00      1.256e+02
 227    354   2130    2.00817675e+01   1.7e-02     1.0e+00      1.259e+02
 228    355   2140    2.00748275e+01   2.1e-02     1.0e+00      1.262e+02
 229    356   2150    2.00679201e+01   1.7e-02     1.0e+00      1.264e+02
 230    357   2160    2.00610464e+01   2.1e-02     1.0e+00      1.267e+02
 231    358   2170    2.00541919e+01   1.6e-02     1.0e+00      1.270e+02
 232    359   2180    2.00471467e+01   2.0e-02     1.0e+00      1.273e+02
 233    360   2190    2.00402292e+01   1.6e-02     1.0e+00      1.276e+02
 234    361   2200    2.00333706e+01   2.0e-02     1.0e+00      1.279e+02
 235    362   2210    2.00265565e+01   1.6e-02     1.0e+00      1.281e+02
 236    363   2220    2.00197862e+01   2.0e-02     1.0e+00      1.284e+02
 237    364   2230    2.00130571e+01   1.7e-02     1.0e+00      1.287e+02
 238    365   2240    2.00063677e+01   2.0e-02     1.0e+00      1.290e+02
 239    366   2250    1.99997177e+01   1.7e-02     1.0e+00      1.293e+02
 240    367   2260    1.99931050e+01   2.0e-02     1.0e+00      1.296e+02
 241    368   2270    1.99865303e+01   1.7e-02     1.0e+00      1.298e+02
 242    369   2280    1.99799912e+01   2.0e-02     1.0e+00      1.301e+02
 243    370   2290    1.99734891e+01   1.8e-02     1.0e+00      1.304e+02
 244    371   2300    1.99670214e+01   2.0e-02     1.0e+00      1.307e+02
 245    372   2310    1.99605898e+01   1.8e-02     1.0e+00      1.309e+02
 246    373   2320    1.99541917e+01   1.9e-02     1.0e+00      1.313e+02
 247    374   2330    1.99478287e+01   1.8e-02     1.0e+00      1.315e+02
 248    375   2340    1.99417450e+01   3.6e-02     1.0e+00      1.318e+02
 249    376   2350    1.99347880e+01   2.2e-02     1.0e+00      1.321e+02
 250    377   2360    1.99282563e+01   1.8e-02     1.0e+00      1.324e+02
 251    378   2370    1.99218259e+01   2.0e-02     1.0e+00      1.327e+02
 252    379   2380    1.99152148e+01   1.8e-02     1.0e+00      1.330e+02
 253    380   2390    1.99087359e+01   2.0e-02     1.0e+00      1.332e+02
 254    381   2400    1.99023273e+01   2.0e-02     1.0e+00      1.336e+02
 255    382   2410    1.98959602e+01   2.0e-02     1.0e+00      1.338e+02
 256    383   2420    1.98896336e+01   2.0e-02     1.0e+00      1.341e+02
 257    384   2430    1.98833443e+01   1.9e-02     1.0e+00      1.344e+02
 258    385   2440    1.98770923e+01   2.0e-02     1.0e+00      1.347e+02
 259    386   2450    1.98708763e+01   1.9e-02     1.0e+00      1.350e+02
 260    387   2460    1.98646961e+01   2.0e-02     1.0e+00      1.353e+02
 261    388   2470    1.98585507e+01   1.9e-02     1.0e+00      1.355e+02
 262    389   2480    1.98528495e+01   1.7e-02     1.0e+00      1.359e+02
 263    390   2490    1.98473203e+01   1.7e-02     1.0e+00      1.361e+02
 264    391   2500    1.98418465e+01   1.8e-02     1.0e+00      1.364e+02
 265    392   2510    1.98364257e+01   1.7e-02     1.0e+00      1.367e+02
 266    393   2520    1.98310551e+01   1.8e-02     1.0e+00      1.370e+02
 267    394   2530    1.98257341e+01   1.6e-02     1.0e+00      1.372e+02
 268    395   2540    1.98204606e+01   1.8e-02     1.0e+00      1.376e+02
 269    396   2550    1.98152341e+01   1.6e-02     1.0e+00      1.378e+02
 270    397   2560    1.98100528e+01   1.8e-02     1.0e+00      1.381e+02
 271    398   2570    1.98049163e+01   1.6e-02     1.0e+00      1.384e+02
 272    399   2580    1.97998943e+01   2.3e-02     1.0e+00      1.387e+02
 273    400   2590    1.97943638e+01   1.5e-02     1.0e+00      1.389e+02
 274    401   2600    1.97891691e+01   1.9e-02     1.0e+00      1.392e+02
 275    402   2610    1.97840855e+01   1.5e-02     1.0e+00      1.395e+02
 276    403   2620    1.97790890e+01   1.8e-02     1.0e+00      1.398e+02
 277    404   2630    1.97741532e+01   1.6e-02     1.0e+00      1.400e+02
 278    405   2640    1.97692833e+01   1.8e-02     1.0e+00      1.403e+02
 279    406   2650    1.97644650e+01   1.6e-02     1.0e+00      1.406e+02
 280    407   2660    1.97597063e+01   1.8e-02     1.0e+00      1.409e+02
 281    408   2670    1.97549958e+01   1.6e-02     1.0e+00      1.411e+02
 282    409   2680    1.97503424e+01   1.9e-02     1.0e+00      1.414e+02
 283    410   2690    1.97457358e+01   1.6e-02     1.0e+00      1.416e+02
 284    411   2700    1.97411849e+01   1.9e-02     1.0e+00      1.419e+02
 285    412   2710    1.97366796e+01   1.7e-02     1.0e+00      1.422e+02
 286    413   2720    1.97322282e+01   1.9e-02     1.0e+00      1.424e+02
 287    414   2730    1.97278203e+01   1.7e-02     1.0e+00      1.427e+02
 288    415   2740    1.97234633e+01   2.0e-02     1.0e+00      1.429e+02
 289    416   2750    1.97191467e+01   1.7e-02     1.0e+00      1.432e+02
 290    417   2760    1.97148770e+01   2.0e-02     1.0e+00      1.434e+02
 291    418   2770    1.97106443e+01   1.7e-02     1.0e+00      1.437e+02
 292    419   2780    1.97064543e+01   2.1e-02     1.0e+00      1.439e+02
 293    420   2790    1.97022977e+01   1.7e-02     1.0e+00      1.441e+02
 294    421   2800    1.96981798e+01   2.1e-02     1.0e+00      1.444e+02
 295    422   2810    1.96940925e+01   1.6e-02     1.0e+00      1.446e+02
 296    423   2820    1.96900405e+01   2.1e-02     1.0e+00      1.449e+02
 297    424   2830    1.96860168e+01   1.6e-02     1.0e+00      1.451e+02
 298    425   2840    1.96820259e+01   2.1e-02     1.0e+00      1.454e+02
 299    426   2850    1.96780613e+01   1.6e-02     1.0e+00      1.456e+02
 300    427   2860    1.96741276e+01   2.2e-02     1.0e+00      1.458e+02
 301    428   2870    1.96702189e+01   1.6e-02     1.0e+00      1.461e+02
 302    429   2880    1.96663395e+01   2.2e-02     1.0e+00      1.463e+02
 303    430   2890    1.96624840e+01   1.5e-02     1.0e+00      1.465e+02
 304    431   2900    1.96586565e+01   2.2e-02     1.0e+00      1.468e+02
 305    432   2910    1.96548521e+01   1.5e-02     1.0e+00      1.470e+02
 306    433   2920    1.96510748e+01   2.2e-02     1.0e+00      1.472e+02
 307    434   2930    1.96473198e+01   1.5e-02     1.0e+00      1.475e+02
 308    435   2940    1.96435909e+01   2.2e-02     1.0e+00      1.477e+02
 309    436   2950    1.96398838e+01   1.5e-02     1.0e+00      1.479e+02
 310    437   2960    1.96362021e+01   2.2e-02     1.0e+00      1.482e+02
 311    438   2970    1.96325415e+01   1.4e-02     1.0e+00      1.484e+02
 312    439   2980    1.96289057e+01   2.3e-02     1.0e+00      1.486e+02
 313    440   2990    1.96252905e+01   1.4e-02     1.0e+00      1.488e+02
 314    441   3000    1.96216995e+01   2.3e-02     1.0e+00      1.491e+02
 315    442   3010    1.96181285e+01   1.4e-02     1.0e+00      1.493e+02
 316    443   3020    1.96145811e+01   2.3e-02     1.0e+00      1.495e+02
 317    444   3030    1.96110533e+01   1.3e-02     1.0e+00      1.497e+02
 318    445   3040    1.96075485e+01   2.3e-02     1.0e+00      1.500e+02
 319    446   3050    1.96040529e+01   1.3e-02     1.0e+00      1.502e+02
 320    447   3060    1.96005606e+01   2.3e-02     1.0e+00      1.504e+02
 321    448   3070    1.95970940e+01   1.2e-02     1.0e+00      1.506e+02
 322    449   3080    1.95936549e+01   2.2e-02     1.0e+00      1.509e+02
 323    450   3090    1.95902356e+01   1.2e-02     1.0e+00      1.511e+02
 324    451   3100    1.95868388e+01   2.2e-02     1.0e+00      1.513e+02
 325    452   3110    1.95834609e+01   1.1e-02     1.0e+00      1.515e+02
 326    453   3120    1.95801047e+01   2.2e-02     1.0e+00      1.517e+02
 327    454   3130    1.95767670e+01   1.1e-02     1.0e+00      1.519e+02
 328    455   3140    1.95734503e+01   2.2e-02     1.0e+00      1.522e+02
 329    456   3150    1.95701516e+01   1.1e-02     1.0e+00      1.524e+02
 330    457   3160    1.95668735e+01   2.1e-02     1.0e+00      1.526e+02
 331    458   3170    1.95636129e+01   1.1e-02     1.0e+00      1.528e+02
 332    459   3180    1.95603724e+01   2.1e-02     1.0e+00      1.530e+02
 333    460   3190    1.95571490e+01   1.1e-02     1.0e+00      1.532e+02
 334    461   3200    1.95539453e+01   2.1e-02     1.0e+00      1.535e+02
 335    462   3210    1.95507584e+01   1.1e-02     1.0e+00      1.536e+02
 336    463   3220    1.95475907e+01   2.1e-02     1.0e+00      1.539e+02
 337    464   3230    1.95444395e+01   1.1e-02     1.0e+00      1.541e+02
 338    465   3240    1.95413070e+01   2.0e-02     1.0e+00      1.543e+02
 339    466   3250    1.95381908e+01   1.1e-02     1.0e+00      1.545e+02
