
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 4: 0
====== Angle Number  2 of 4: 60
====== Angle Number  3 of 4: 120
====== Angle Number  4 of 4: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> ====== With Self Absorption, Transmission Detector Resolution is 6
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> #######==============Beta= 0.000000, TempBeta = 1.000000 
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
  78     79    491    2.04453732e+01    2.04453732e+01     4.29546816e-03    4.1e+02     1.0e+00      3.404e-01
  79     80    501    2.04084979e+01    2.04084979e+01     4.29353749e-03    9.0e+01     1.0e+00      3.403e-01
  80     81    511    2.03636242e+01    2.03636242e+01     4.27898728e-03    1.3e+03     1.0e+00      3.397e-01
  81     82    521    2.03205903e+01    2.03205903e+01     4.27732328e-03    1.1e+02     1.0e+00      3.396e-01
  82     83    531    2.02926403e+01    2.02926403e+01     4.26794177e-03    4.4e+02     1.0e+00      3.393e-01
  83     84    538    2.02749593e+01    2.02749593e+01     4.26772713e-03    1.5e+02     1.0e+00      3.392e-01
  84     85    543    2.02709334e+01    2.02709334e+01     4.26725740e-03    2.5e+02     1.0e+00      3.392e-01
  85     86    553    2.02380997e+01    2.02380997e+01     4.25824005e-03    4.4e+02     1.0e+00      3.388e-01
  86     87    557    2.02148383e+01    2.02148383e+01     4.25629589e-03    5.1e+02     1.0e+00      3.387e-01
  87     88    562    2.02088460e+01    2.02088460e+01     4.25574196e-03    1.3e+02     1.0e+00      3.387e-01
  88     89    572    2.01205561e+01    2.01205561e+01     4.22127644e-03    2.2e+03     1.0e+00      3.373e-01
  89     90    576    2.00507527e+01    2.00507527e+01     4.22156566e-03    3.9e+02     1.0e+00      3.373e-01
  90     91    586    2.00142834e+01    2.00142834e+01     4.21552947e-03    2.8e+02     1.0e+00      3.370e-01
