
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 10: 0
====== Angle Number  2 of 10: 20
====== Angle Number  3 of 10: 40
====== Angle Number  4 of 10: 60
====== Angle Number  5 of 10: 80
====== Angle Number  6 of 10: 100
====== Angle Number  7 of 10: 120
====== Angle Number  8 of 10: 140
====== Angle Number  9 of 10: 160
====== Angle Number  10 of 10: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> ====== With Self Absorption, Transmission Detector Resolution is 30
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> #######==============Beta= 1.000000, TempBeta = 0.000000 
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
 150    151   1005    4.72138408e-09    4.44934288e+06     4.72138408e-09    2.2e-07     1.0e+00      6.720e-01
 151    152   1010    4.71019298e-09    4.44916311e+06     4.71019298e-09    1.8e-07     1.0e+00      6.720e-01
 152    153   1020    4.63683812e-09    4.44852694e+06     4.63683812e-09    5.2e-07     1.0e+00      6.719e-01
 153    154   1025    4.59029573e-09    4.44884434e+06     4.59029573e-09    3.0e-07     1.0e+00      6.719e-01
 154    155   1035    4.55103075e-09    4.44811560e+06     4.55103075e-09    2.4e-07     1.0e+00      6.719e-01
 155    156   1045    4.51794117e-09    4.44824366e+06     4.51794117e-09    3.3e-07     1.0e+00      6.719e-01
 156    157   1055    4.48780749e-09    4.44780751e+06     4.48780749e-09    2.4e-07     1.0e+00      6.718e-01
 157    158   1065    4.45977938e-09    4.44775196e+06     4.45977938e-09    3.2e-07     1.0e+00      6.718e-01
 158    159   1075    4.43254497e-09    4.44745559e+06     4.43254497e-09    1.8e-07     1.0e+00      6.718e-01
 159    160   1085    4.40571086e-09    4.44736674e+06     4.40571086e-09    3.1e-07     1.0e+00      6.718e-01
 160    161   1095    4.37926237e-09    4.44708649e+06     4.37926237e-09    1.9e-07     1.0e+00      6.718e-01
 161    162   1105    4.35308288e-09    4.44699755e+06     4.35308288e-09    3.0e-07     1.0e+00      6.718e-01
 162    163   1115    4.32717359e-09    4.44672224e+06     4.32717359e-09    2.0e-07     1.0e+00      6.717e-01
