
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 6: 0
====== Angle Number  2 of 6: 36
====== Angle Number  3 of 6: 72
====== Angle Number  4 of 6: 108
====== Angle Number  5 of 6: 144
====== Angle Number  6 of 6: 180
>> >> >> >> >> >> ===================== 10
====== With Self Absorption, Transmission Detector Resolution is 16
ans =
   410   300
ans =
    82   300
J1 =
   240
J2 =
    70
J3 =
   300
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
  92     93    601    8.16078170e-04    7.10721341e-04     1.05356829e-04    4.3e-02     1.0e+00      2.997e-01
  93     94    605    8.10332115e-04    7.06251558e-04     1.04080557e-04    1.5e-02     1.0e+00      2.997e-01
  94     95    608    8.09350477e-04    7.05714273e-04     1.03636205e-04    1.2e-02     1.0e+00      2.996e-01
  95     96    614    8.05270048e-04    6.98426492e-04     1.06843556e-04    1.5e-02     1.0e+00      2.993e-01
  96     97    620    8.01521185e-04    6.99092273e-04     1.02428911e-04    1.9e-02     1.0e+00      2.992e-01
  97     98    630    7.62828390e-04    6.60280382e-04     1.02548008e-04    2.7e-02     1.0e+00      2.953e-01
  98     99    632    7.43310539e-04    6.48704388e-04     9.46061508e-05    4.3e-02     1.0e+00      2.952e-01
  99    100    636    7.32894543e-04    6.39046615e-04     9.38479272e-05    2.9e-02     1.0e+00      2.952e-01
 100    101    640    7.30176214e-04    6.39450179e-04     9.07260349e-05    7.6e-03     1.0e+00      2.952e-01
 101    102    646    7.27078737e-04    6.38399565e-04     8.86791724e-05    9.2e-03     1.0e+00      2.950e-01
 102    103    652    7.24333811e-04    6.34604371e-04     8.97294394e-05    5.2e-03     1.0e+00      2.949e-01
 103    104    658    7.21724065e-04    6.34738926e-04     8.69851381e-05    1.2e-02     1.0e+00      2.947e-01
 104    105    668    7.11668733e-04    6.24184195e-04     8.74845380e-05    1.7e-02     1.0e+00      2.939e-01
 105    106    670    7.07363026e-04    6.22865169e-04     8.44978564e-05    1.2e-02     1.0e+00      2.939e-01
 106    107    674    7.03875587e-04    6.18592397e-04     8.52831903e-05    1.7e-02     1.0e+00      2.938e-01
 107    108    684    6.88812279e-04    6.08101066e-04     8.07112133e-05    1.6e-02     1.0e+00      2.924e-01
 108    109    686    6.82845183e-04    6.02045329e-04     8.07998533e-05    2.9e-02     1.0e+00      2.924e-01
 109    110    690    6.76341107e-04    5.98799712e-04     7.75413950e-05    2.8e-02     1.0e+00      2.923e-01
 110    111    693    6.75344200e-04    5.96664056e-04     7.86801432e-05    9.4e-03     1.0e+00      2.923e-01
 111    112    703    6.52615636e-04    5.73729917e-04     7.88857191e-05    1.6e-02     1.0e+00      2.902e-01
 112    113    705    6.43063643e-04    5.68727643e-04     7.43359998e-05    3.9e-02     1.0e+00      2.902e-01
